Predicted,GroundTruth
epithelial cell of urethra,Differentiating.Basal
respiratory basal cell,Differentiating.Basal
basal cell of epithelium of bronchus,Differentiating.Basal
malignant cell,Basal
respiratory basal cell,Suprabasal
epithelial cell of urethra,Basal
epithelial cell of esophagus,Differentiating.Basal
basal cell of prostate epithelium,Transitioning.Basal
epithelial cell of urethra,Basal
epithelial cell of urethra,Differentiating.Basal
epithelial cell of urethra,Secretory
goblet cell,Secretory
respiratory basal cell,Differentiating.Basal
respiratory basal cell,Transitioning.Basal
epithelial cell of lung,Basal
nasal mucosa goblet cell,Secretory
epithelial cell of urethra,Basal
epithelial cell of urethra,Transitioning.Basal
cell in vitro,Secretory
cell in vitro,Basal
epithelial cell of urethra,Basal
basal cell of epithelium of bronchus,Basal
epithelial cell of lung,Differentiating.Basal
cell in vitro,Basal
basal cell of epidermis,Basal
cell in vitro,Basal
respiratory basal cell,Differentiating.Basal
native cell,Secretory
basal cell of epithelium of bronchus,Basal
basal cell of epithelium of trachea,Basal
cell in vitro,Basal
respiratory basal cell,Secretory
basal cell of epidermis,Basal
respiratory basal cell,Basal
cell in vitro,Proliferating.Basal
nasal mucosa goblet cell,Secretory
nasal mucosa goblet cell,Secretory
epithelial cell of urethra,Suprabasal
epithelial cell of urethra,Transitioning.Basal
basal cell of prostate epithelium,Transitioning.Basal
epithelial cell of urethra,Transitioning.Basal
basal cell of prostate epithelium,Proliferating.Basal
basal cell of prostate epithelium,Transitioning.Basal
epithelial cell of urethra,Basal
epithelial cell of urethra,Suprabasal
malignant cell,Proliferating.Basal
epithelial cell of urethra,Differentiating.Basal
respiratory basal cell,Basal
basal cell,Secretory
cell in vitro,Suprabasal
cell in vitro,Basal
cell in vitro,Secretory
nasal mucosa goblet cell,Secretory
epithelial cell of urethra,Basal
epithelial cell of urethra,Differentiating.Basal
cell in vitro,Basal
epithelial cell of urethra,Differentiating.Basal
epithelial cell of urethra,Transitioning.Basal
malignant cell,Proliferating.Basal
basal cell of prostate epithelium,Basal
respiratory basal cell,Transitioning.Basal
cell in vitro,Secretory
respiratory basal cell,Transitioning.Basal
nasal mucosa goblet cell,Secretory
epithelial cell of urethra,Basal
epithelial cell of esophagus,Differentiating.Basal
basal cell of epithelium of bronchus,Basal
respiratory basal cell,Transitioning.Basal
basal cell of prostate epithelium,Transitioning.Basal
epithelial cell of urethra,Differentiating.Basal
epithelial cell of urethra,Proliferating.Basal
respiratory basal cell,Transitioning.Basal
epithelial cell of urethra,Transitioning.Basal
squamous epithelial cell,Secretory
epithelial cell of urethra,Basal
malignant cell,Basal
lung secretory cell,Secretory
basal cell of epithelium of bronchus,Differentiating.Basal
cell in vitro,Basal
epithelial cell of urethra,Differentiating.Basal
epithelial cell of urethra,Differentiating.Basal
epithelial cell of urethra,Proliferating.Basal
nasal mucosa goblet cell,Secretory
respiratory basal cell,Basal
respiratory basal cell,Basal
nasal mucosa goblet cell,Secretory
nasal mucosa goblet cell,Secretory
epithelial cell of urethra,Transitioning.Basal
club cell,Secretory
tracheal goblet cell,Secretory
epithelial cell of urethra,Suprabasal
epithelial cell of urethra,Secretory
epithelial cell of urethra,Basal
epithelial cell of urethra,Suprabasal
respiratory basal cell,Basal
malignant cell,Basal
cell in vitro,Basal
malignant cell,Basal
nasal mucosa goblet cell,Secretory
epithelial cell of urethra,Differentiating.Basal
cell in vitro,Basal
epithelial cell of urethra,Differentiating.Basal
epithelial cell of lung,Differentiating.Basal
epithelial cell of urethra,Differentiating.Basal
cell in vitro,Transitioning.Basal
nasal mucosa goblet cell,Secretory
epithelial cell of urethra,Secretory
tracheal goblet cell,Secretory
basal cell of epithelium of bronchus,Basal
tracheal goblet cell,Secretory
cell in vitro,Basal
cell in vitro,Basal
epithelial cell of urethra,Differentiating.Basal
cell in vitro,Basal
respiratory basal cell,Transitioning.Basal
tracheal goblet cell,Secretory
lung secretory cell,Secretory
epithelial cell of urethra,Basal
basal cell of epithelium of bronchus,Basal
epithelial cell of urethra,Differentiating.Basal
epithelial cell of urethra,Differentiating.Basal
epithelial cell of urethra,Differentiating.Basal
epithelial cell of urethra,Suprabasal
cell in vitro,Secretory
epithelial cell of esophagus,Differentiating.Basal
epithelial cell of urethra,Transitioning.Basal
epithelial cell of urethra,Basal
epithelial cell of urethra,Secretory
epithelial cell of urethra,Differentiating.Basal
basal cell of epithelium of bronchus,Basal
tracheal goblet cell,Secretory
secretory cell,Secretory
respiratory basal cell,Transitioning.Basal
epithelial cell of urethra,Differentiating.Basal
epithelial cell of urethra,Basal
epithelial cell of urethra,Differentiating.Basal
epithelial cell of urethra,Basal
epithelial cell of urethra,Suprabasal
epithelial cell of esophagus,Differentiating.Basal
epithelial cell of urethra,Suprabasal
epithelial cell of esophagus,Differentiating.Basal
epithelial cell of urethra,Basal
epithelial cell of urethra,Basal
epithelial cell of esophagus,Differentiating.Basal
cultured cell,Proliferating.Basal
malignant cell,Proliferating.Basal
epithelial cell of urethra,Transitioning.Basal
basal cell of epithelium of trachea,Transitioning.Basal
cell in vitro,Basal
epithelial cell of urethra,Proliferating.Basal
malignant cell,Proliferating.Basal
epithelial cell of lung,Proliferating.Basal
nasal mucosa goblet cell,Secretory
epithelial cell of the bronchus,Differentiating.Basal
epithelial cell of urethra,Basal
respiratory basal cell,Basal
cell in vitro,Basal
epithelial cell of urethra,Differentiating.Basal
cell in vitro,Basal
respiratory basal cell,Basal
epithelial cell of urethra,Basal
tracheal goblet cell,Secretory
epithelial cell of urethra,Basal
epithelial cell of urethra,Transitioning.Basal
malignant cell,Transitioning.Basal
basal cell of epithelium of bronchus,Basal
epithelial cell of urethra,Differentiating.Basal
cultured cell,Basal
basal cell,Secretory
epithelial cell of urethra,Differentiating.Basal
nasal mucosa goblet cell,Secretory
basal cell of epithelium of bronchus,Basal
cell in vitro,Secretory
basal cell of prostate epithelium,Transitioning.Basal
epithelial cell of urethra,Basal
cell in vitro,Secretory
respiratory basal cell,Basal
epithelial cell of urethra,Basal
epithelial cell of urethra,Basal
epithelial cell of urethra,Differentiating.Basal
respiratory basal cell,Transitioning.Basal
respiratory basal cell,Basal
respiratory basal cell,Basal
club cell,Secretory
squamous epithelial cell,Secretory
epithelial cell of urethra,Basal
malignant cell,Basal
epithelial cell of urethra,Basal
epithelial cell of urethra,Suprabasal
cell in vitro,Suprabasal
epithelial cell of urethra,Basal
epithelial cell of urethra,Basal
epithelial cell of esophagus,Differentiating.Basal
epithelial cell of urethra,Differentiating.Basal
goblet cell,Secretory
cell in vitro,Secretory
epithelial cell of urethra,Secretory
epithelial cell of urethra,Differentiating.Basal
nasal mucosa goblet cell,Secretory
epithelial cell of urethra,Basal
lung secretory cell,Secretory
respiratory basal cell,Transitioning.Basal
respiratory basal cell,Secretory
tracheal goblet cell,Secretory
squamous epithelial cell,Basal
nasal mucosa goblet cell,Secretory
epithelial cell of urethra,Basal
epithelial cell of urethra,Transitioning.Basal
epithelial cell of esophagus,Basal
tracheal goblet cell,Secretory
epithelial cell of urethra,Transitioning.Basal
epithelial cell of urethra,Secretory
respiratory basal cell,Basal
epithelial cell of urethra,Proliferating.Basal
epithelial cell of urethra,Basal
nasal mucosa goblet cell,Secretory
epithelial cell of urethra,Differentiating.Basal
epithelial cell of urethra,Differentiating.Basal
epithelial cell of urethra,Differentiating.Basal
epithelial cell of esophagus,Differentiating.Basal
nasal mucosa goblet cell,Secretory
nasal mucosa goblet cell,Secretory
epithelial cell of esophagus,Differentiating.Basal
tracheal goblet cell,Secretory
nasal mucosa goblet cell,Secretory
respiratory basal cell,Suprabasal
epithelial cell of esophagus,Proliferating.Basal
cell in vitro,Transitioning.Basal
cultured cell,Secretory
epithelial cell of urethra,Suprabasal
cell in vitro,Basal
epithelial cell of urethra,Suprabasal
cell in vitro,Secretory
epithelial cell of urethra,Differentiating.Basal
respiratory basal cell,Transitioning.Basal
cell in vitro,Secretory
epithelial cell of esophagus,Differentiating.Basal
respiratory basal cell,Basal
epithelial cell of lung,Proliferating.Basal
cell in vitro,Basal
epithelial cell of urethra,Differentiating.Basal
epithelial cell of proximal tubule,Differentiating.Basal
club cell,Secretory
squamous epithelial cell,Secretory
epithelial cell of urethra,Basal
epithelial cell of lung,Proliferating.Basal
epithelial cell of urethra,Transitioning.Basal
epithelial cell of urethra,Suprabasal
epithelial cell of urethra,Differentiating.Basal
basal cell of epidermis,Proliferating.Basal
cell in vitro,Secretory
respiratory basal cell,Transitioning.Basal
epithelial cell of urethra,Differentiating.Basal
club cell,Secretory
basal cell of prostate epithelium,Basal
epithelial cell of urethra,Secretory
epithelial cell of urethra,Secretory
basal cell of epithelium of bronchus,Differentiating.Basal
nasal mucosa goblet cell,Secretory
tracheal goblet cell,Secretory
basal cell of epithelium of trachea,Basal
epithelial cell of urethra,Proliferating.Basal
epithelial cell of urethra,Differentiating.Basal
epithelial cell of esophagus,Proliferating.Basal
respiratory basal cell,Transitioning.Basal
cell in vitro,Secretory
epithelial cell of urethra,Proliferating.Basal
basal cell of epithelium of bronchus,Proliferating.Basal
malignant cell,Transitioning.Basal
epithelial cell of urethra,Basal
basal cell of prostate epithelium,Transitioning.Basal
basal cell of epithelium of bronchus,Basal
epithelial cell of urethra,Basal
epithelial cell of urethra,Basal
respiratory basal cell,Basal
nasal mucosa goblet cell,Secretory
cell in vitro,Basal
cell in vitro,Basal
epithelial cell of esophagus,Differentiating.Basal
cell in vitro,Transitioning.Basal
epithelial cell of urethra,Suprabasal
tracheal goblet cell,Secretory
squamous epithelial cell,Secretory
nasal mucosa goblet cell,Secretory
epithelial cell of urethra,Suprabasal
respiratory basal cell,Basal
epithelial cell of urethra,Basal
nasal mucosa goblet cell,Secretory
epithelial cell of urethra,Secretory
respiratory basal cell,Basal
epithelial cell of urethra,Suprabasal
epithelial cell of urethra,Basal
epithelial cell of urethra,Secretory
cell in vitro,Secretory
epithelial cell of urethra,Basal
respiratory basal cell,Transitioning.Basal
tracheal goblet cell,Secretory
tracheal goblet cell,Secretory
epithelial cell of urethra,Secretory
cell in vitro,Transitioning.Basal
basal cell of epithelium of bronchus,Basal
epithelial cell of urethra,Transitioning.Basal
respiratory basal cell,Transitioning.Basal
nasal mucosa goblet cell,Secretory
tracheal goblet cell,Secretory
epithelial cell of urethra,Proliferating.Basal
epithelial cell of urethra,Transitioning.Basal
epithelial cell of esophagus,Differentiating.Basal
cell in vitro,Secretory
epithelial cell of esophagus,Differentiating.Basal
epithelial cell of urethra,Differentiating.Basal
epithelial cell of urethra,Proliferating.Basal
epithelial cell of urethra,Transitioning.Basal
epithelial cell of urethra,Basal
epithelial cell of urethra,Secretory
epithelial cell of urethra,Transitioning.Basal
cell in vitro,Secretory
epithelial cell of esophagus,Differentiating.Basal
epithelial cell of esophagus,Differentiating.Basal
basal cell of epithelium of bronchus,Basal
epithelial cell of esophagus,Differentiating.Basal
epithelial cell of urethra,Differentiating.Basal
goblet cell,Secretory
nasal mucosa goblet cell,Secretory
epithelial cell of urethra,Differentiating.Basal
cell in vitro,Basal
epithelial cell of urethra,Proliferating.Basal
malignant cell,Basal
malignant cell,Transitioning.Basal
epithelial cell of esophagus,Differentiating.Basal
epithelial cell of urethra,Proliferating.Basal
epithelial cell of urethra,Basal
respiratory basal cell,Suprabasal
epithelial cell of urethra,Proliferating.Basal
epithelial cell of urethra,Basal
epithelial cell of urethra,Differentiating.Basal
respiratory basal cell,Transitioning.Basal
tracheal goblet cell,Secretory
epithelial cell of urethra,Basal
epithelial cell of urethra,Secretory
epithelial cell of urethra,Proliferating.Basal
respiratory basal cell,Basal
respiratory basal cell,Secretory
tracheal goblet cell,Secretory
epithelial cell of urethra,Basal
respiratory basal cell,Basal
cell in vitro,Transitioning.Basal
basal cell of prostate epithelium,Proliferating.Basal
epithelial cell of urethra,Suprabasal
epithelial cell of urethra,Differentiating.Basal
epithelial cell of urethra,Basal
cell in vitro,Secretory
cell in vitro,Secretory
respiratory basal cell,Transitioning.Basal
cell in vitro,Suprabasal
epithelial cell of urethra,Basal
basal cell of prostate epithelium,Basal
tracheal goblet cell,Secretory
epithelial cell of urethra,Differentiating.Basal
respiratory basal cell,Proliferating.Basal
basal cell of epithelium of bronchus,Basal
epithelial cell of urethra,Basal
type II pneumocyte,Secretory
epithelial cell of esophagus,Differentiating.Basal
epithelial cell of urethra,Basal
cell in vitro,Suprabasal
tracheal goblet cell,Secretory
epithelial cell of urethra,Suprabasal
epithelial cell of urethra,Proliferating.Basal
respiratory basal cell,Transitioning.Basal
epithelial cell of esophagus,Proliferating.Basal
epithelial cell of urethra,Basal
epithelial cell of urethra,Basal
epithelial cell of urethra,Suprabasal
cell in vitro,Secretory
basal cell of prostate epithelium,Transitioning.Basal
basal cell of epithelium of bronchus,Differentiating.Basal
epithelial cell of urethra,Transitioning.Basal
basal cell of epidermis,Basal
tracheal goblet cell,Secretory
cell in vitro,Basal
epithelial cell of urethra,Differentiating.Basal
cell in vitro,Secretory
respiratory basal cell,Basal
epithelial cell of urethra,Transitioning.Basal
epithelial cell of urethra,Basal
epithelial cell of urethra,Basal
basal cell of epithelium of bronchus,Transitioning.Basal
respiratory basal cell,Basal
epithelial cell of esophagus,Differentiating.Basal
basal cell of prostate epithelium,Basal
basal cell of epithelium of trachea,Transitioning.Basal
tracheal goblet cell,Secretory
cell in vitro,Suprabasal
cell in vitro,Basal
basal cell of epithelium of bronchus,Basal
epithelial cell of urethra,Basal
epithelial cell of urethra,Secretory
epithelial cell of lung,Proliferating.Basal
epithelial cell of urethra,Basal
cell in vitro,Basal
respiratory basal cell,Transitioning.Basal
epithelial cell of lung,Basal
malignant cell,Basal
epithelial cell of urethra,Secretory
basal cell of prostate epithelium,Transitioning.Basal
cell in vitro,Basal
respiratory basal cell,Basal
epithelial cell of urethra,Suprabasal
epithelial cell of esophagus,Differentiating.Basal
epithelial cell of urethra,Basal
basal cell of epithelium of bronchus,Transitioning.Basal
epithelial cell of esophagus,Differentiating.Basal
epithelial cell of urethra,Basal
respiratory basal cell,Basal
